,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
2546,47,New,That’s So True,Gracie Abrams,47,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2547,48,-10,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,7,38,14,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2548,49,Re-Entry,I'm Still Fine,The Red Clay Strays,38,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2549,50,-20,A-frame,"Jeremy Zucker, Chelsea Cutler",30,30,2,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2550,51,-3,HEAT STICK,"Shoreline Mafia, OHGEESY, Fenix Flexin",4,48,24,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2551,52,New,Every Little Thing,Peach Pit,52,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2552,53,-12,Look Mom I Can Fly,Livingston,29,41,3,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2553,54,-23,A Work of Art,"Ice Nine Kills, SHAVO",31,31,2,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2554,55,New,It's My Ego,Ice Cube,55,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2555,56,Re-Entry,Take Me to the Beach,Imagine Dragons,46,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2556,57,-15,Hearts Get Broken,Thomas Day,3,42,3,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2557,58,-34,Western Woman,Ian Munsick,4,24,5,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2558,59,New,Holidays,Conan Gray,59,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2559,60,New,fashion week,blackbear,60,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2560,61,-11,Someone In This Room (feat. Bailey Zimmerman),"Jessie Murph, Bailey Zimmerman",6,50,7,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2561,62,Re-Entry,Barely Blue,Midland,62,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2562,63,+10,A Child's Prayer,"The Tabernacle Choir at Temple Square, Orchestra at Temple Square",46,73,7,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2563,64,-11,After All The Bars Are Closed,Thomas Rhett,11,53,2,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2564,65,+5,crooked the road.,Mon Rovîa,27,70,9,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2565,66,New,Broke Heart Break,"Maoli, Brett Young",66,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2566,67,Re-Entry,Wonderful Nothing,Glass Animals,3,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2567,68,New,the way that i am,Abby Powledge,68,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2568,69,-8,I Will Be What I Believe,Blake Gillette,61,61,6,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2569,70,+26,Is What It Is,Chance Peña,44,96,3,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2570,71,New,Long Way Home (feat. Skrizzly Adams),"Chris Webby, Skrizzly Adams",71,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2571,72,-5,All My Life,"Falling In Reverse, Jelly Roll",2,67,9,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2572,73,New,Til The Last Shot's Fired,"Scotty Hasting, Lee Brice, Dolly Parton",73,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2573,74,New,Both Ways,Juice WRLD,74,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2574,75,+3,Maxed Out,Bayker Blankenship,26,78,24,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2575,76,-11,Roses,Jenna Raine,61,65,5,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2576,77,+13,Suit and Tie (Sixteen Tons),Cooper Alan,50,90,4,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2577,78,New,P4IN (feat. Bones),"Jean Dawson, BONES",78,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2578,79,New,Attaway,Phantogram,79,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2579,80,-14,Slim Pickins,Sabrina Carpenter,20,66,9,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2580,81,New,ROCKMAN,Mk.gee,81,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2581,82,-36,Lonely Dirt Road,Dax,46,46,2,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2582,83,-9,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",35,74,4,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2583,84,-1,What He'll Never Have,Dylan Scott,10,83,4,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2584,85,+7,misses,Dominic Fike,8,92,25,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2585,86,New,Smith (with Junior H & Fuerza Regida),"Chino Pacas, Junior H, Fuerza Regida",86,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2586,87,New,HIM ALL ALONG,Gunna,87,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2587,88,New,THE END,Bilmuri,88,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2588,89,–,Come Thou Fount of Every Blessing / If You Could Hie to Kolob,"Elenyi, Sarah Young",13,89,7,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2589,90,-22,Quitter,Cameron Whitcomb,62,68,8,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2590,91,-14,Sailor Song,Gigi Perez,25,77,13,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2591,92,+1,No One Noticed,The Marías,62,93,9,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2592,93,Re-Entry,Change Me,BigXthaPlug,70,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2593,94,New,Don’t HMU,Anella Herim,94,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2594,95,+2,Forever,Noah Kahan,3,97,2,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2595,96,New,Out Of Bounds,"Koastle, Conrad, DLG.",96,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2596,97,-39,Fix What You Didn't Break,Nate Smith,13,58,2,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2597,98,Re-Entry,I'm Trying to Be Like Jesus,"Roger Hoffman, The Tabernacle Choir at Temple Square, Orchestra at Temple Square, Craig Jessop",97,—,1,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2598,99,-20,Legendary,"Jorge Rivera-Herrans, Miguel Veloso, Ayron Alexander, Cast of EPIC: The Musical",9,79,8,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2599,100,-19,LOW ROAD (feat. Avery Anna),"Adrien Nunez, Avery Anna",81,81,2,Salt Lake City,2024-10-24,City Weekly Pulse Songs
2600,1,–,Vision De Tunel,Hermanos Espinoza,1,1,7,San Antonio,2024-10-24,City Weekly Pulse Songs
2601,2,New,2AM,BigXthaPlug,2,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2602,3,New,Con Toda La Fe,LOS DOS DE TAMAULIPAS,3,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2603,4,+2,No Pasa Nada,"Clave Especial, Fuerza Regida",4,6,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2604,5,–,Hecha Pa' Mí,Grupo Frontera,3,5,3,San Antonio,2024-10-24,City Weekly Pulse Songs
2605,6,New,Ends of the Earth,Ty Myers,6,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2606,7,New,Smith (with Junior H & Fuerza Regida),"Chino Pacas, Junior H, Fuerza Regida",7,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2607,8,+2,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",8,10,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2608,9,-2,Algo Bien,Profugos De Nuevo Leon,1,7,27,San Antonio,2024-10-24,City Weekly Pulse Songs
2609,10,New,Love Somebody,Morgan Wallen,10,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2610,11,-2,Cozy,Braxton Keith,5,9,31,San Antonio,2024-10-24,City Weekly Pulse Songs
2611,12,-4,Me Acostumbre A Lo Bueno II,"Chuyin, Fuerza Regida",6,8,4,San Antonio,2024-10-24,City Weekly Pulse Songs
2612,13,+1,On D Gas,"LEGADO 7, Kane Rodriguez",13,14,9,San Antonio,2024-10-24,City Weekly Pulse Songs
2613,14,-10,War Wounds (with Maxo Kream & Lil' Keke),"That Mexican OT, Maxo Kream, Lil' Keke",4,4,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2614,15,New,House Again,Hudson Westbrook,15,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2615,16,-4,DOS DÍAS,"Tito Double P, Peso Pluma",10,12,9,San Antonio,2024-10-24,City Weekly Pulse Songs
2616,17,-6,No One Noticed,The Marías,2,11,20,San Antonio,2024-10-24,City Weekly Pulse Songs
2617,18,+2,El Gabacho,"Código FN, Neton Vega, Gabito Ballesteros",18,20,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2618,19,New,Noid,"Tyler, The Creator",19,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2619,20,-3,I Never Lie,Zach Top,13,17,21,San Antonio,2024-10-24,City Weekly Pulse Songs
2620,21,-8,Que Vas a Hacer (Version Norteña),"Los Primos del Este, Nivel",13,13,4,San Antonio,2024-10-24,City Weekly Pulse Songs
2621,22,-7,El Plumas,"Neton Vega, Luis R Conriquez",15,15,10,San Antonio,2024-10-24,City Weekly Pulse Songs
2622,23,-2,PERLA,Los Del North Texas,21,21,3,San Antonio,2024-10-24,City Weekly Pulse Songs
2623,24,-8,Sale Para Ser Feliz,Ivan Cornejo,3,16,12,San Antonio,2024-10-24,City Weekly Pulse Songs
2624,25,+6,Casamigos,Koe Wetzel,14,31,6,San Antonio,2024-10-24,City Weekly Pulse Songs
2625,26,-7,Mi Escolta Por un Lado (MAMBO),Yahir Saldivar,19,19,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2626,27,-4,LOS CUADROS,"Peso Pluma, Tito Double P",14,23,4,San Antonio,2024-10-24,City Weekly Pulse Songs
2627,28,-3,Happy Face,Treaty Oak Revival,13,25,6,San Antonio,2024-10-24,City Weekly Pulse Songs
2628,29,+13,weren't for the wind,Ella Langley,29,42,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2629,30,+5,Tu Boda,"Oscar Maydon, Fuerza Regida",11,35,4,San Antonio,2024-10-24,City Weekly Pulse Songs
2630,31,-3,LIL DEMON,Future,18,28,4,San Antonio,2024-10-24,City Weekly Pulse Songs
2631,32,-6,A LA ORDEN,"Santa Fe Klan, Yahir Saldivar",1,26,22,San Antonio,2024-10-24,City Weekly Pulse Songs
2632,33,-4,NEL,Fuerza Regida,13,29,12,San Antonio,2024-10-24,City Weekly Pulse Songs
2633,34,New,Presidente,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",34,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2634,35,+11,No Mastico Culebras,Los Chavalitos,35,46,5,San Antonio,2024-10-24,City Weekly Pulse Songs
2635,36,+12,What Kinda Man,Parker McCollum,12,48,6,San Antonio,2024-10-24,City Weekly Pulse Songs
2636,37,-5,Brokey,Latto,25,32,10,San Antonio,2024-10-24,City Weekly Pulse Songs
2637,38,New,Sin Miedo - En Vivo,Edgardo Nuñez,38,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2638,39,New,HIM ALL ALONG,Gunna,39,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2639,40,-10,Or What,"NLE Choppa, 41, Kyle Richh",30,30,5,San Antonio,2024-10-24,City Weekly Pulse Songs
2640,41,-19,Selena,"Peso Peso, That Mexican OT",3,22,6,San Antonio,2024-10-24,City Weekly Pulse Songs
2641,42,New,In a Moment,South Park Mexican,42,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2642,43,-6,AR (feat. BigXthaPlug),"MO3, That Mexican OT, BigXthaPlug",3,37,22,San Antonio,2024-10-24,City Weekly Pulse Songs
2643,44,-17,I'm Gonna Love You,"Cody Johnson, Carrie Underwood",17,27,4,San Antonio,2024-10-24,City Weekly Pulse Songs
2644,45,-1,Rey Sin Reina,Julión Álvarez y su Norteño Banda,34,44,7,San Antonio,2024-10-24,City Weekly Pulse Songs
2645,46,-6,Reflejando,Nivel,40,40,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2646,47,-13,Peloteras,"El Makabelico, Yahir Saldivar, El Flako",4,34,8,San Antonio,2024-10-24,City Weekly Pulse Songs
2647,48,-3,De Madrid a París,La Receta,45,45,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2648,49,-8,Break It Right Back,Megan Moroney,30,41,3,San Antonio,2024-10-24,City Weekly Pulse Songs
2649,50,New,HOLANDA,Linea Personal,50,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2650,51,-2,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",20,49,5,San Antonio,2024-10-24,City Weekly Pulse Songs
2651,52,-5,COME SAVE ME,BIG30,17,47,16,San Antonio,2024-10-24,City Weekly Pulse Songs
2652,53,-14,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",31,39,4,San Antonio,2024-10-24,City Weekly Pulse Songs
2653,54,+14,One Take Freestyle,1900Rugrat,54,68,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2654,55,-17,La Caravana,"Bandi2, Yahir Saldivar",10,38,20,San Antonio,2024-10-24,City Weekly Pulse Songs
2655,56,-32,Flores,Xavi,21,24,5,San Antonio,2024-10-24,City Weekly Pulse Songs
2656,57,+29,El Mayor de los Ranas,"Victor Valverde, JR Torres",57,86,3,San Antonio,2024-10-24,City Weekly Pulse Songs
2657,58,New,Chingo de Amor,La Fiera de Ojinaga,58,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2658,59,-8,Si No Quieres No,"Luis R Conriquez, Neton Vega",15,51,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2659,60,-27,BW,"Grupo Marca Registrada, Diferente Nivel",33,33,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2660,61,+3,NO PIERDO LA VIDA,"Calle 24, Chuyin",33,64,7,San Antonio,2024-10-24,City Weekly Pulse Songs
2661,62,-9,Run Your Mouth,Gavin Adcock,31,53,12,San Antonio,2024-10-24,City Weekly Pulse Songs
2662,63,-6,Marz,DeeBaby,1,57,4,San Antonio,2024-10-24,City Weekly Pulse Songs
2663,64,+16,Barely Blue,Midland,32,80,5,San Antonio,2024-10-24,City Weekly Pulse Songs
2664,65,-10,AMOR,Los Gemelos De Sinaloa,55,55,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2665,66,+4,Not That Strong,William Beckmann,36,70,5,San Antonio,2024-10-24,City Weekly Pulse Songs
2666,67,Re-Entry,WHISKEY WHISKEY (feat. Morgan Wallen),"Moneybagg Yo, Morgan Wallen",24,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2667,68,-25,25,Rod Wave,43,43,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2668,69,-13,The Viper,BabyChiefDoit,56,56,3,San Antonio,2024-10-24,City Weekly Pulse Songs
2669,70,New,Welcome To The Plains,Wyatt Flores,70,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2670,71,-12,Ojitos Rojos,Julio Caesar,26,59,7,San Antonio,2024-10-24,City Weekly Pulse Songs
2671,72,-9,Tal Vez Fui Yo,El Padrinito Toys,43,63,10,San Antonio,2024-10-24,City Weekly Pulse Songs
2672,73,-11,Good Graces,Sabrina Carpenter,53,62,4,San Antonio,2024-10-24,City Weekly Pulse Songs
2673,74,+5,End Up Gone,ian,74,79,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2674,75,-4,The Thin Grey Line,$uicideboy$,11,71,6,San Antonio,2024-10-24,City Weekly Pulse Songs
2675,76,-18,No Face,Drake,20,58,8,San Antonio,2024-10-24,City Weekly Pulse Songs
2676,77,-10,Help Me,Real Boston Richey,36,67,15,San Antonio,2024-10-24,City Weekly Pulse Songs
2677,78,-17,Thoughts of You,Ole 60,54,61,5,San Antonio,2024-10-24,City Weekly Pulse Songs
2678,79,New,I Dunn Swung,Hashi Senjoo,79,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2679,80,New,You For A Reason,Warren Zeiders,80,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2680,81,-8,Juna,Clairo,24,73,14,San Antonio,2024-10-24,City Weekly Pulse Songs
2681,82,-4,28,Zach Bryan,26,78,16,San Antonio,2024-10-24,City Weekly Pulse Songs
2682,83,Re-Entry,Un Consejo,Raúl Beltran,83,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2683,84,New,GEEK TIMË,Yeat,84,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2684,85,New,Me Quiero Un Chingo,"La Maquinaria Norteña, Conjunto Rienda Real",85,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2685,86,-14,La Cumbia De La Baliniza,"Los Cómplices, Yahir Saldivar",3,72,43,San Antonio,2024-10-24,City Weekly Pulse Songs
2686,87,-22,TRR TAC TAC,"De Parranda, Los Morales",47,65,18,San Antonio,2024-10-24,City Weekly Pulse Songs
2687,88,-38,DESIERTO,Becky G,50,50,2,San Antonio,2024-10-24,City Weekly Pulse Songs
2688,89,New,Change My Mind,Riley Green,89,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2689,90,-13,Get It Sexyy,Sexyy Red,5,77,4,San Antonio,2024-10-24,City Weekly Pulse Songs
2690,91,-16,Sorry Not Sorry,"Lil Yachty, Veeze",27,75,9,San Antonio,2024-10-24,City Weekly Pulse Songs
2691,92,-23,ALL RED,Playboi Carti,6,69,6,San Antonio,2024-10-24,City Weekly Pulse Songs
2692,93,-11,Cumbia del arabe,"Los de la Treinta, Yahir Saldivar",3,82,27,San Antonio,2024-10-24,City Weekly Pulse Songs
2693,94,New,Holding On,Bailey Zimmerman,94,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2694,95,Re-Entry,Giza,"Natanael Cano, Oscar Maydon",52,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2695,96,Re-Entry,Wind Up Missin’ You,Tucker Wetmore,33,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2696,97,-12,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,24,85,14,San Antonio,2024-10-24,City Weekly Pulse Songs
2697,98,-3,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",32,95,6,San Antonio,2024-10-24,City Weekly Pulse Songs
2698,99,New,"I Love You, I'm Sorry - Live From Vevo",Gracie Abrams,99,—,1,San Antonio,2024-10-24,City Weekly Pulse Songs
2699,100,-4,Mejores Jordans,"Victor Mendivil, Oscar Maydon",79,96,4,San Antonio,2024-10-24,City Weekly Pulse Songs
2700,1,–,Elected,Beldon Haigh,1,1,3,San Diego,2024-10-24,City Weekly Pulse Songs
2701,2,+9,Rabbit Hole,Monks In The Wood,2,11,2,San Diego,2024-10-24,City Weekly Pulse Songs
2702,3,+6,Pulp Fiction,ASTRA,3,9,2,San Diego,2024-10-24,City Weekly Pulse Songs
2703,4,New,Not Falling,Jacre,4,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2704,5,New,Cloud 9,BEEVIE,5,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2705,6,New,Always On My Mind,Zeztra,6,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2706,7,+1,HEY TU,GIANTHEO,7,8,3,San Diego,2024-10-24,City Weekly Pulse Songs
2707,8,-3,Always (LaLa Love You),Terrence & the High Flyers,5,5,3,San Diego,2024-10-24,City Weekly Pulse Songs
2708,9,New,She's Got It,Cybèle,9,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2709,10,+9,Tomorrow's Here to Stay,Andy Korg,10,19,2,San Diego,2024-10-24,City Weekly Pulse Songs
2710,11,-5,Take Me To The Stars,Stefan Schulzki,6,6,2,San Diego,2024-10-24,City Weekly Pulse Songs
2711,12,+1,Endless Summer,"BenBen, Camellia Hartman",12,13,2,San Diego,2024-10-24,City Weekly Pulse Songs
2712,13,Re-Entry,Flow So Crazy,"Lil Weirdo, YngActivke",1,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2713,14,New,Fighting Shadows,Barbara Falzoni,14,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2714,15,New,U Deserve,Vi City,15,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2715,16,+2,Never Enough,Kayze,16,18,3,San Diego,2024-10-24,City Weekly Pulse Songs
2716,17,+13,Bloomed in Snow,Pilar Victoria,17,30,2,San Diego,2024-10-24,City Weekly Pulse Songs
2717,18,-2,No Pasa Nada,"Clave Especial, Fuerza Regida",16,16,2,San Diego,2024-10-24,City Weekly Pulse Songs
2718,19,New,Smith (with Junior H & Fuerza Regida),"Chino Pacas, Junior H, Fuerza Regida",19,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2719,20,–,Me Acostumbre A Lo Bueno II,"Chuyin, Fuerza Regida",3,20,4,San Diego,2024-10-24,City Weekly Pulse Songs
2720,21,+2,feel U luv Me,Knock2,2,23,4,San Diego,2024-10-24,City Weekly Pulse Songs
2721,22,-1,4 shots of your body,Lambo4oe,21,21,4,San Diego,2024-10-24,City Weekly Pulse Songs
2722,23,-6,DESIERTO,Becky G,17,17,2,San Diego,2024-10-24,City Weekly Pulse Songs
2723,24,New,Noid,"Tyler, The Creator",24,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2724,25,Re-Entry,Ain't Shit,"Drexthejoint, Cypress Moreno",1,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2725,26,-1,DATS MY BABY!,Nueve Lio,2,25,10,San Diego,2024-10-24,City Weekly Pulse Songs
2726,27,-1,No One Noticed,The Marías,2,26,19,San Diego,2024-10-24,City Weekly Pulse Songs
2727,28,New,What It Iz,"OHGEESY, Lefty Gunplay",28,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2728,29,-1,HEAT STICK,"Shoreline Mafia, OHGEESY, Fenix Flexin",1,28,24,San Diego,2024-10-24,City Weekly Pulse Songs
2729,30,+2,CAVE (with Tove Lo),"Dom Dolla, Tove Lo",30,32,2,San Diego,2024-10-24,City Weekly Pulse Songs
2730,31,New,STARsound (pt2),"ISOxo, fussy",31,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2731,32,Re-Entry,Say It Again,"Tc4, G5K",1,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2732,33,New,Love Somebody,Morgan Wallen,33,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2733,34,-1,That's That,lou deezi,7,33,25,San Diego,2024-10-24,City Weekly Pulse Songs
2734,35,+5,Arriba la Compañía,LOS DOS DE TAMAULIPAS,21,40,8,San Diego,2024-10-24,City Weekly Pulse Songs
2735,36,Re-Entry,Snap My Finger (feat. PinkPantheress),"KAYTRANADA, PinkPantheress",36,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2736,37,+9,MUTT,Leon Thomas,37,46,8,San Diego,2024-10-24,City Weekly Pulse Songs
2737,38,-2,Juna,Clairo,1,36,15,San Diego,2024-10-24,City Weekly Pulse Songs
2738,39,+2,On D Gas,"LEGADO 7, Kane Rodriguez",39,41,7,San Diego,2024-10-24,City Weekly Pulse Songs
2739,40,-6,When you call,MC BXB,2,34,23,San Diego,2024-10-24,City Weekly Pulse Songs
2740,41,-3,whatcha gotta say (with Blxst),"thủy, Blxst",29,38,3,San Diego,2024-10-24,City Weekly Pulse Songs
2741,42,New,365 featuring shygirl,"Charli xcx, Shygirl",42,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2742,43,+7,El Gabacho,"Código FN, Neton Vega, Gabito Ballesteros",43,50,2,San Diego,2024-10-24,City Weekly Pulse Songs
2743,44,+4,MTV Cribs,Mike Sherm,4,48,4,San Diego,2024-10-24,City Weekly Pulse Songs
2744,45,+2,Don’t Smile,Sabrina Carpenter,3,47,9,San Diego,2024-10-24,City Weekly Pulse Songs
2745,46,New,HIM ALL ALONG,Gunna,46,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2746,47,-4,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",11,43,4,San Diego,2024-10-24,City Weekly Pulse Songs
2747,48,-3,DOS DÍAS,"Tito Double P, Peso Pluma",21,45,5,San Diego,2024-10-24,City Weekly Pulse Songs
2748,49,New,4X4,Don Toliver,49,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2749,50,+14,On My Knees,Dauble,50,64,2,San Diego,2024-10-24,City Weekly Pulse Songs
2750,51,Re-Entry,Neverender - Kaytranada Remix,"Justice, Tame Impala, KAYTRANADA",38,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2751,52,-10,Go Back (feat. Julia Church) - YDG Remix,"John Summit, Sub Focus, YDG, Julia Church",42,42,2,San Diego,2024-10-24,City Weekly Pulse Songs
2752,53,Re-Entry,LOS CUADROS,"Peso Pluma, Tito Double P",6,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2753,54,-5,PERO NO TE ENAMORES,Fuerza Regida,4,49,4,San Diego,2024-10-24,City Weekly Pulse Songs
2754,55,+6,THRASH (PARTY STARTER),"ISOKNOCK, ISOxo, Knock2",1,61,9,San Diego,2024-10-24,City Weekly Pulse Songs
2755,56,New,Levitating,RÜFÜS DU SOL,56,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2756,57,+14,After the First Kiss,Faye Webster,57,71,4,San Diego,2024-10-24,City Weekly Pulse Songs
2757,58,-27,Mirada,Ivan Cornejo,31,31,4,San Diego,2024-10-24,City Weekly Pulse Songs
2758,59,New,That’s So True,Gracie Abrams,59,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2759,60,+9,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",60,69,2,San Diego,2024-10-24,City Weekly Pulse Songs
2760,61,+12,Hecha Pa' Mí,Grupo Frontera,61,73,3,San Diego,2024-10-24,City Weekly Pulse Songs
2761,62,-6,She Said (feat. Kalan.FrFr),"R3 DA Chilliman, Kalan.FrFr",6,56,20,San Diego,2024-10-24,City Weekly Pulse Songs
2762,63,+4,Never Be Yours,Kali Uchis,3,67,18,San Diego,2024-10-24,City Weekly Pulse Songs
2763,64,-11,Are You Responsible,Young Slo-Be,53,53,2,San Diego,2024-10-24,City Weekly Pulse Songs
2764,65,+13,SOTO SHUFFLE,"El Alfa, Foreign Teck",65,78,3,San Diego,2024-10-24,City Weekly Pulse Songs
2765,66,New,SI NO ES CONTIGO - REMIX,"Cris Mj, Kali Uchis, JHAYCO",66,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2766,67,+18,NISSAN ALTIMA,Doechii,28,85,12,San Diego,2024-10-24,City Weekly Pulse Songs
2767,68,-5,El Plumas,"Neton Vega, Luis R Conriquez",33,63,10,San Diego,2024-10-24,City Weekly Pulse Songs
2768,69,New,MERTHER,Mau P,69,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2769,70,-5,Boogieman,EBK Jaaybo,1,65,27,San Diego,2024-10-24,City Weekly Pulse Songs
2770,71,New,ROCKMAN,Mk.gee,71,—,1,San Diego,2024-10-24,City Weekly Pulse Songs
2771,72,-12,Gimme That,"Bravo the Bagchaser, Peysoh",3,60,11,San Diego,2024-10-24,City Weekly Pulse Songs
