,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
118,19,-5,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",10,14,13,Atlanta,2024-10-24,City Weekly Pulse Songs
119,20,-12,Wyb Quan,"Rich Homie Quan, Quicktrip",2,8,3,Atlanta,2024-10-24,City Weekly Pulse Songs
120,21,-5,Help Me,Real Boston Richey,12,16,21,Atlanta,2024-10-24,City Weekly Pulse Songs
121,22,New,House Again,Hudson Westbrook,22,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
122,23,New,Drop It (feat. Yns Corey),"L5, Yns Corey",23,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
123,24,–,Sorry Not Sorry,"Lil Yachty, Veeze",16,24,10,Atlanta,2024-10-24,City Weekly Pulse Songs
124,25,-7,Break It Right Back,Megan Moroney,8,18,3,Atlanta,2024-10-24,City Weekly Pulse Songs
125,26,+3,weren't for the wind,Ella Langley,26,29,3,Atlanta,2024-10-24,City Weekly Pulse Songs
126,27,+1,F*cked A Fan,"Veeze, Rylo Rodriguez",9,28,15,Atlanta,2024-10-24,City Weekly Pulse Songs
127,28,New,Noid,"Tyler, The Creator",28,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
128,29,+11,Cotton Candy,"DEMIYAA, Lil Rae",11,40,14,Atlanta,2024-10-24,City Weekly Pulse Songs
129,30,-4,Run Your Mouth,Gavin Adcock,10,26,12,Atlanta,2024-10-24,City Weekly Pulse Songs
130,31,-11,Happy Face,Treaty Oak Revival,10,20,6,Atlanta,2024-10-24,City Weekly Pulse Songs
131,32,New,Good Times (Bonus Track),Koe Wetzel,32,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
132,33,New,Holding On,Bailey Zimmerman,33,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
133,34,Re-Entry,MUTT,Leon Thomas,34,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
134,35,Re-Entry,fdo,OLA RUNT,11,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
135,36,-4,One Take Freestyle,1900Rugrat,32,32,4,Atlanta,2024-10-24,City Weekly Pulse Songs
136,37,-16,I'm Gonna Love You,"Cody Johnson, Carrie Underwood",20,21,4,Atlanta,2024-10-24,City Weekly Pulse Songs
137,38,New,You For A Reason,Warren Zeiders,38,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
